block_number;block_timestamp;block_hash;transaction_hash;transaction_index;log_index;value;contract_type;transaction_type;token_address;token_id;from_address;to_address;amount;verified;operator
14405950;2022-03-17T19:47:09.000Z;0xd0a186dc982bf6074b578895daf733dc232df7c8a5016016ca2f1ab939ca7fd2;0xb84961de1f881d88d9ac1c88b9217901fcbba8c0b9f45fa82399926d287937cf;50;205;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;49;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405948;2022-03-17T19:46:13.000Z;0xa1e828ac76224f141ba871b8fd9bde55e0d612a9ac5bbdd0b44bc4cc78c68679;0x215d34ca1e58cb358f44cd31d5497ebd9e02e90db172353c8bab83844651ad64;14;58;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;51;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405947;2022-03-17T19:45:52.000Z;0x9c785abc9a5b231f45d127aed968ac937aa9a819fd23c0dd419060de8f61133c;0x587bcbdf3b0393111260b39b8730c0c05f124e4dadecfa0f34c4acc6f776b48b;17;14;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;60;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405943;2022-03-17T19:44:21.000Z;0xc1e69a761947477e9e30783d1d7a17471e7179ab536a745ef05b1e29e4ddcf63;0xb432bfc94ad3e65aeeea045dcae49d17c4a0a63e82367168ca4d1cf50f0a9890;44;161;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;63;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405940;2022-03-17T19:43:45.000Z;0x95abbee1210f9b45745dcdd924205d5bbddce8258e49013422b4791862cd7238;0x0bca0d3f32f2d3733ee5fe9adb7ff15a8bdb32dfc751e91252bf65b082986a65;7;32;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;68;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405938;2022-03-17T19:42:45.000Z;0x171d45608e09873f29d913c2c7147652b19fba26251a22203150118fd7119aa9;0xcdda261d88bda5e183a62c6b0998f40614d246e693345cdd53bdb85f17867562;35;44;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;69;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405933;2022-03-17T19:41:11.000Z;0x49ed1f6faa294678ff2521eb7963faa49e3973d1b60e13b9c54dc2ab83de3bb4;0x17d2439d8d9df2b3146cc8e45eea5f5300c0a30df2d8b77cfb6a89b51b718f35;20;47;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;78;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405930;2022-03-17T19:40:37.000Z;0xada95ab00d7210e5424a9b290ec7980edad16762e9e83ddf853192b43b7860ad;0x866756212732a877a8572d902a517022d0226b7162750a890be30724cb0e9df5;19;75;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;79;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405924;2022-03-17T19:39:43.000Z;0x6ea51578e8135c06f7b325094921fd52ef0775698956c7e6a9f32aec916ebce0;0x701982391a2fa357e1e35fd973493023e0f76b76b7b5aa4bd06570024a07c34c;64;20;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;84;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
14405921;2022-03-17T19:38:11.000Z;0x201a620d5b67bd8026d05529bef4e0532f552be0531a6a1ef1f7734776312e84;0xf72368aa6fab7145930a07b1a3be29d90899a6b177daf5686fbf4bc6784b5ab8;15;34;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;95;0xe34bded2b256430a9be53cbf5cba3b6d866d55f3;0xa858ddc0445d8131dac4d1de01f834ffcba52ef1;1;1;
